62,
"0:0:11" 31.75,63,
"0:0:14" 31.94,69,
"0:0:16" 32.06,74,
"0:0:18" 32.19,77,
"0:0:20" 32.19,76,
"0:0:23" 32.19,70,
"0:0:26" 32.25,71,
"0:0:28" 32.25,68,
"0:0:30" 32.31,67,
"0:0:32" 32.31,65,
"0:0:34" 32.31,64,
"0:0:36" 32.38,61,
"0:0:38" 32.38,61,
"0:0:40" 32.44,62,
"0:0:43" 32.44,61,
"0:0:45" 32.50,63,
"0:0:46" 32.50,62,
"0:0:49" 32.50,62,
"0:0:51" 32.50,64,
"0:0:54" 32.56,64,
"0:0:56" 32.56,66,
"0:0:58" 32.56,66,
"0:1:0" 32.63,63,
"0:1:2" 32.63,63,
"0:1:5" 32.63,63,
"0:1:8" 32.63,64,
"0:1:11" 32.69,65,
"0:1:13" 32.69,68,
"0:1:15" 32.69,69,
"0:1:18" 32.69,67,
"0:1:20" 32.75,67,
"0:1:22" 32.75,64,
"0:1:24" 32.75,62,
"0:1:27" 32.75,63,
"0:1:29" 32.75,61,
"0:1:31" 32.75,61,
"0:1:33" 32.75,60,
"0:1:35" 32.75,59,
"0:1:37" 32.81,59,
"0:1:40" 32.81,60,
"0:1:42" 32.81,59,
"0:1:44" 32.81,60,
"0:1:46" 32.81,58,
"0:1:48" 32.81,59,
"0:1:50" 32.81,59,
"0:1:52" 32.81,60,
"0:1:54" 32.81,61,
"0:1:57" 32.81,62,
"0:1:59" 32.81,61,
"0:2:2" 32.81,62,
"0:2:4" 32.81,61,
"0:2:6" 32.81,61,
"0:2:8" 32.81,61,
"0:2:10" 32.81,61,
"0:2:12" 32.88,61,
"0:2:14" 32.81,61,
"0:2:16" 32.81,60,
"0:2:18" 32.81,58,
"0:2:20" 32.81,58,
"0:2:22" 32.81,58,
"0:2:24" 32.81,59,
"0:2:26" 32.88,58,
"0:2:28" 32.88,60,
"0:2:30" 32.81,59,
"0:2:32" 32.88,60,
"0:2:34" 32.81,59,
"0:2:36" 32.88,59,
"0:2:39" 32.88,60,
"0:2:41" 32.88,60,
"0:2:43" 32.88,61,
"0:2:45" 32.88,59,
"0:2:47" 32.88,65,
"0:2:49" 32.88,71,
"0:2:51" 32.88,80,
"0:2:53" 32.94,86,
"0:2:55" 33.00,85,
"0:2:58" 33.00,87,
"0:2:59" 33.06,90,
"0:3:1" 33.00,94,
"0:3:3" 33.06,92,
"0:3:5" 33.06,82,
"0:3:8" 33.13,76,
"0:3:10" 33.13,70,
"0:3:12" 33.19,65,
"0:3:15" 33.25,64,
"0:3:17" 33.25,64,
"0:3:19" 33.31,65,
"0:3:21" 33.31,63,
"0:3:23" 33.38,64,
"0:3:25" 33.38,62,
"0:3:27" 33.44,62,
"0:3:29" 33.44,61,
"0:3:31" 33.50,62,
"0:3:33" 33.50,65,
"0:3:35" 33.56,64,
"0:3:37" 33.56,65,
"0:3:40" 33.63,65,
"0:3:43" 33.69,63,
"0:3:45" 33.75,62,
"0:3:47" 33.75,63,
"0:3:49" 33.75,61,
"0:3:51" 33.81,62,
"0:3:53" 33.81,62,
"0:3:55" 33.81,60,
"0:3:57" 33.88,59,
"0:3:59" 33.88,59,
"0:4:1" 33.88,59,
"0:4:3" 33.94,59,
"0:4:5" 33.94,59,
"0:4:7" 33.94,58,
"0:4:10" 34.00,58,
"0:4:12" 34.00,57,
"0:4:14" 34.00,59,
"0:4:17" 34.00,61,
"0:4:19" 34.00,61,
"0:4:21" 34.06,61,
"0:4:24" 34.06,60,
"0:4:26" 34.06,58,
"0:4:28" 34.06,57,
"0:4:30" 34.06,57,
"0:4:32" 34.13,57,
"0:4:34" 34.13,58,
"0:4:36" 34.13,58,
"0:4:38" 34.13,59,
"0:4:40" 34.13,60,
"0:4:42" 34.19,60,
"0:4:44" 34.19,60,
"0:4:46" 34.19,60,
"0:4:48" 34.19,60,
"0:4:50" 34.19,60,
"0:4:52" 34.19,61,
"0:4:55" 34.25,63,
"0:4:56" 34.25,61,
"0:4:59" 34.25,61,
"0:5:1" 34.25,60,
"0:5:3" 34.25,59,
"0:5:5" 34.25,58,
"0:5:7" 34.25,58,
"0:5:9" 34.25,58,
"0:5:11" 34.25,58,
"0:5:13" 34.31,58,
"0:5:15" 34.31,57,
"0:5:17" 34.31,56,
"0:5:19" 34.31,57,
"0:5:21" 34.31,56,
"0:5:24" 34.31,56,
"0:5:26" 34.31,56,
"0:5:28" 34.38,57,
"0:5:30" 34.38,55,
"0:5:32" 34.38,55,
"0:5:34" 34.38,55,
"0:5:37" 34.38,55,
"0:5:39" 34.38,55,
"0:5:41" 34.38,56,
"0:5:43" 34.38,55,
"0:5:45" 34.38,57,
"0:5:48" 34.38,57,
"0:5:50" 34.38,56,
"0:5:52" 34.44,57,
"0:5:55" 34.44,55,
"0:5:57" 34.44,55,
"0:5:59" 34.44,55,
"0:6:1" 34.44,56,
"0:6:3" 34.44,57,
"0:6:5" 34.44,57,
"0:6:7" 34.44,57,
"0:6:9" 34.44,56,
"0:6:12" 34.44,55,
"0:6:14" 34.44,54,
"0:6:16" 34.44,56,
"0:6:18" 34.50,57,
"0:6:20" 34.44,57,
"0:6:22" 34.50,58,
"0:6:24" 34.50,57,
"0:6:27" 34.50,55,
"0:6:29" 34.50,54,
"0:6:31" 34.50,54,
"0:6:33" 34.50,54,
